DN,geometry,mndwi,ndvi2,b5b4,b6b4,b7b4,b8ab4,b8b4,evi,nrvi,ndwi,gndvi,ndvi,b3b2,b3b4,oc2,b3b1,oc4,Fecha
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.33344194,0.082674354,0.69253796,0.79986924,0.88630664,0.84824556,0.8436374,0.0289120125312101,-0.0008848853,0.25607726,-0.25607726,0.0008848853,0.62014985,1.7435465,1.4113220819748615,0.60841703,1.7458849944966883,2018-12-17
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.37837225,0.08683188,0.5308439,0.6415097,0.7906301,0.7751369,0.85413176,0.035266686948752,0.0041668303,0.3176608,-0.3176608,-0.0041668303,0.6662945,2.3767002,28136.18641147294,2.0573275,1.964944725867511,2019-03-25
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.12345311,0.057603188,0.68421936,0.7548066,0.7980182,0.78739756,0.8008472,0.053138825833787,-0.0052132932,0.06852517,-0.06852517,0.0052132932,0.660013,0.82624763,1.4703211915992562,0.7931322,1.821369720947819,2021-12-09
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.3116854,0.06236377,0.38431907,0.39460504,0.5018147,0.40251186,0.44256455,0.0427185993154576,0.078475714,0.27644157,-0.27644157,-0.078475714,0.4027634,1.8071107,0.8628868586431248,0.58454216,1.0588331969245817,2021-02-09
7,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.06339416056665 -39.20878363260635, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.20878363260635))",0.7837099,0.24376445,0.8738064,0.7742595,0.95646983,0.66746944,0.7746827,0.0282450072640355,0.14961047,0.6768045,-0.6768045,-0.14961047,0.9007337,4.269269,1.673734853189751,1.2736424,1.8716416427892164,2021-02-09
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.2502498661213, -72.14632662759655 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213, -72.14632662759655 -39.2502498661213))",0.34701616,0.265055,0.55863225,0.7164349,0.7941996,0.7164526,0.71819,0.028661674485362,-0.031761948,0.16345283,-0.16345283,0.031761948,0.49160886,1.2061896,0.9666143797636888,0.6094009,1.1383802967399304,2020-02-18
11,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.67304486,0.4574271,1.0084728,1.1444271,1.2099724,1.0450337,1.0507337,-0.0089453478136694,-0.022604749,0.33440143,-0.33440143,0.022604749,0.8819725,2.1302786,1.5040020607781184,1.0441408,1.6037702752568683,2020-02-18
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.47192776,0.26913705,0.6543273,0.8822318,1.0283811,0.8671447,0.894731,0.032322357863008,-0.038356103,0.30793563,-0.30793563,0.038356103,0.4948656,2.1873803,0.8204037539980368,0.62410295,0.9835099183445744,2019-01-14
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.41336527,0.19796045,0.54748976,0.67829925,0.78557223,0.7512236,0.8530105,0.0253335066092759,-0.023485158,0.27360567,-0.27360567,0.023485158,0.58183956,1.8926567,1605134.491963748,2.0533707,1.4021125358407789,2020-04-08
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.2502498661213, -72.14632662759655 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213, -72.14632662759655 -39.2502498661213))",0.29745334,0.0572493,0.57048625,0.66162026,0.76825756,0.7381011,0.7145709,0.0316085644385857,0.0062188082,0.24833682,-0.24833682,-0.0062188082,0.50317067,1.7127755,1.2568739521713244,0.48139927,1.547122650452506,2019-01-26
